TERT_I8_NT_Nuc_Ex,TERT_I8_NT_Cyto_Ex,TERT_I8_NT_Nuc_I,TERT_I8_NT_Cyto_I,TERT_I8_NT_FreeIntron,TERT_I8_NT_PIR,TERT_I8_SON_Nuc_Ex,TERT_I8_SON_Cyto_Ex,TERT_I8_SON_Nuc_I,TERT_I8_SON_Cyto_I,TERT_I8_SON_FreeIntron,TERT_I8_SON_PIR,TERT_I8_SRRM2_Nuc_Ex,TERT_I8_SRRM2_Cyto_Ex,TERT_I8_SRRM2_Nuc_I,TERT_I8_SRRM2_Cyto_I,TERT_I8_SRRM2_FreeIntron,TERT_I8_SRRM2_PIR,TERT_I8_SON_SRRM2_Nuc_Ex,TERT_I8_SON_SRRM2_Cyto_Ex,TERT_I8_SON_SRRM2_Nuc_I,TERT_I8_SON_SRRM2_Cyto_I,TERT_I8_SON_SRRM2_FreeIntron,TERT_I8_SON_SRRM2_PIR,TERT_I11_NT_Nuc_Ex,TERT_I11_NT_Cyto_Exon,TERT_I11_NT_Nuc_I,TERT_I11_NT_Cyto_I,TERT_I11_NT_FREE_INTRON,TERT_I11_NT_PIR,TERT_I11_SON_Nuc_Ex,TERT_I11_SON_Cyto_Exon,TERT_I11_SON_Nuc_I,TERT_I11_SON_Cyto_I,TERT_I11_SON_FREE_INTRON,TERT_I11_SON_PIR,TERT_I11_SRRM2_Nuc_Ex,TERT_I11_SRRM2_Cyto_Exon,TERT_I11_SRRM2_Nuc_I,TERT_I11_SRRM2_Cyto_I,TERT_I11_SRRM2_FREE_INTRON,TERT_I11_SRRM2_PIR,TERT_I11_SON_SRRM2_Nuc_Ex,TERT_I11_SON_SRRM2_Cyto_Exon,TERT_I11_SON_SRRM2_Nuc_I,TERT_I11_SON_SRRM2_Cyto_I,TERT_I11_SON_SRRM2_FREE_INTRON,TERT_I11_SON_SRRM2_PIR,CENPT_NT_Nuc_Ex,CENPT_NT_Cyto_Exon,CENPT_NT_Nuc_I,CENPT_NT_Cyto_I,CENPT_NT_FREE_INTRON,CENPT_NT_PIR,CENPT_SON_Nuc_Ex,CENPT_SON_Cyto_Exon,CENPT_SON_Nuc_I,CENPT_SON_Cyto_I,CENPT_SON_FREE_INTRON,CENPT_SON_PIR,CENPT_SRRM2_Nuc_Ex,CENPT_SRRM2_Cyto_Exon,CENPT_SRRM2_Nuc_I,CENPT_SRRM2_Cyto_I,CENPT_SRRM2_FREE_INTRON,CENPT_SRRM2_PIR,CENPT_SON_SRRM2_Nuc_Ex,CENPT_SON_SRRM2_Cyto_Exon,CENPT_SON_SRRM2_Nuc_I,CENPT_SON_SRRM2_Cyto_I,CENPT_SON_SRRM2_FREE_INTRON,CENPT_SON_SRRM2_PIR,COG4_NT_Nuc_Ex,COG4_NT_Cyto_Exon,COG4_NT_Nuc_I,COG4_NT_Cyto_I,COG4_NT_FREE_INTRON,COG4_NT_PIR,COG4_SON_Nuc_Ex,COG4_SON_Cyto_Exon,COG4_SON_Nuc_I,COG4_SON_Cyto_I,COG4_SON_FREE_INTRON,COG4_SON_PIR,COG4_SRRM2_Nuc_Ex,COG4_SRRM2_Cyto_Exon,COG4_SRRM2_Nuc_I,COG4_SRRM2_Cyto_I,COG4_SRRM2_FREE_INTRON,COG4_SRRM2_PIR,COG4_SON_SRRM2_Nuc_Ex,COG4_SON_SRRM2_Cyto_Exon,COG4_SON_SRRM2_Nuc_I,COG4_SON_SRRM2_Cyto_I,COG4_SON_SRRM2_FREE_INTRON,COG4_SON_SRRM2_PIR,RAD52_I10_NT_Nuc_Ex,RAD52_I10_NT_Cyto_Exon,RAD52_I10_NT_Nuc_I,RAD52_I10_NT_Cyto_I,RAD52_I10_NT_FREE_INTRON,RAD52_I10_NT_PIR,RAD52_I10_SON_Nuc_Ex,RAD52_I10_SON_Cyto_Exon,RAD52_I10_SON_Nuc_I,RAD52_I10_SON_Cyto_I,RAD52_I10_SON_FREE_INTRON,RAD52_I10_SON_PIR,RAD52_I10_SRRM2_Nuc_Ex,RAD52_I10_SRRM2_Cyto_Exon,RAD52_I10_SRRM2_Nuc_I,RAD52_I10_SRRM2_Cyto_I,RAD52_I10_SRRM2_FREE_INTRON,RAD52_I10_SRRM2_PIR,RAD52_I10_SON_SRRM2_Nuc_Ex,RAD52_I10_SON_SRRM2_Cyto_Exon,RAD52_I10_SON_SRRM2_Nuc_I,RAD52_I10_SON_SRRM2_Cyto_I,RAD52_I10_SON_SRRM2_FREE_INTRON,RAD52_I10_SON_SRRM2_PIR
14,2,2,0,0,14.29,5,1,2,0,0,40.00,9,0,1,0,0,11.11111111,6,7,0,0,0,0,6,1,5,0,0,83.33333333,8,1,7,0,0,87.5,12,1,11,0,1,91.66666667,10,4,8,0,0,80,31,4,16,0,2,51.61290323,7,2,3,0,3,42.85714286,24,4,20,0,2,83.33333333,24,1,22,0,8,91.66666667,25,7,14,0,1,56,12,15,7,0,2,58.33333333,25,12,12,0,0,48,22,16,10,0,0,45.45454545,17,1,11,0,0,64.70588235,11,2,4,0,1,36.36363636,18,1,6,0,1,33.33333333,9,0,5,0,0,55.55555556
9,2,2,0,0,22.22,11,0,2,0,0,18.18,9,3,2,0,0,22.22222222,9,4,0,0,2,0,10,0,6,0,0,60,4,0,4,0,2,100,5,1,4,0,0,80,4,1,2,0,0,50,12,4,4,0,0,33.33333333,12,1,8,0,5,66.66666667,18,3,8,0,4,44.44444444,7,1,7,0,1,100,14,9,7,1,2,50,36,18,20,0,3,55.55555556,18,21,8,0,1,44.44444444,24,39,9,0,1,37.5,13,0,8,0,0,61.53846154,11,2,5,0,1,45.45454545,7,1,4,0,0,57.14285714,13,1,6,0,0,46.15384615
15,3,2,0,0,13.33,7,2,2,0,0,28.57,4,1,0,0,0,0,11,4,0,0,1,0,4,1,3,0,2,75,12,1,11,0,0,91.66666667,5,2,3,0,0,60,6,1,5,0,0,83.33333333,22,8,18,0,1,81.81818182,4,0,2,0,1,50,17,3,14,0,1,82.35294118,18,7,11,0,2,61.11111111,17,7,15,0,2,88.23529412,14,9,11,0,0,78.57142857,10,26,6,0,1,60,19,25,11,0,2,57.89473684,13,1,6,0,0,46.15384615,12,2,8,0,0,66.66666667,16,1,9,0,0,56.25,6,1,5,0,0,83.33333333
16,3,3,0,0,18.75,11,0,1,0,0,9.09,12,3,2,0,1,16.66666667,8,5,0,0,1,0,7,2,6,0,1,85.71428571,4,0,3,0,0,75,9,1,8,0,1,88.88888889,10,1,5,0,0,50,31,2,27,0,2,87.09677419,9,4,6,0,0,66.66666667,29,6,22,0,2,75.86206897,22,4,13,0,1,59.09090909,19,5,10,0,0,52.63157895,9,18,3,0,2,33.33333333,28,17,13,0,1,46.42857143,18,11,10,0,3,55.55555556,9,2,5,0,0,55.55555556,11,1,5,0,0,45.45454545,12,1,9,0,0,75,20,0,9,0,1,45
5,5,2,0,0,40.00,5,0,1,0,0,20.00,9,1,2,0,0,22.22222222,7,3,0,0,1,0,7,0,4,0,1,57.14285714,6,0,6,0,1,100,8,4,5,0,0,62.5,4,0,3,0,0,75,14,3,10,0,1,71.42857143,16,3,15,0,1,93.75,24,5,14,0,0,58.33333333,16,3,10,0,1,62.5,19,4,11,0,2,57.89473684,17,8,7,0,2,41.17647059,25,10,16,0,0,64,13,20,5,0,2,38.46153846,8,2,3,0,0,37.5,17,1,8,0,0,47.05882353,10,2,5,0,2,50,15,1,6,0,0,40
10,2,2,0,1,20.00,3,2,1,0,0,33.33,15,2,1,0,0,6.666666667,11,2,0,0,1,0,11,0,8,0,1,72.72727273,11,2,8,0,1,72.72727273,4,0,4,0,0,100,4,0,3,0,0,75,22,4,16,0,2,72.72727273,12,1,9,0,1,75,10,6,3,0,2,30,13,4,8,0,0,61.53846154,25,5,12,0,2,48,15,9,8,0,1,53.33333333,20,12,16,0,0,80,24,8,17,0,1,70.83333333,19,1,8,0,0,42.10526316,12,1,6,0,0,50,7,2,3,0,1,42.85714286,7,0,5,0,0,71.42857143
9,3,1,0,0,11.11,15,1,2,0,0,13.33,11,0,2,0,0,18.18181818,3,2,0,0,1,0,13,1,7,0,1,53.84615385,5,2,3,0,0,60,15,0,7,0,1,46.66666667,7,1,3,0,0,42.85714286,30,8,24,0,3,80,7,0,3,0,0,42.85714286,11,7,9,0,1,81.81818182,20,6,12,0,4,60,16,5,9,0,1,56.25,14,17,6,0,1,42.85714286,18,17,12,0,1,66.66666667,28,16,17,0,2,60.71428571,7,0,4,0,0,57.14285714,7,1,6,0,0,85.71428571,26,2,20,0,0,76.92307692,15,1,12,0,1,80
4,3,1,0,0,25.00,4,3,1,0,0,25.00,7,1,0,0,0,0,11,4,3,0,0,27.27272727,15,2,11,0,0,73.33333333,14,0,9,0,1,64.28571429,8,2,7,0,0,87.5,5,2,5,0,0,100,20,5,11,0,4,55,9,4,5,0,2,55.55555556,23,7,21,0,1,91.30434783,17,6,7,0,5,41.17647059,12,8,7,1,1,58.33333333,25,18,20,0,3,80,11,12,7,0,0,63.63636364,20,15,14,0,0,70,13,1,8,0,0,61.53846154,7,2,1,0,0,14.28571429,21,1,9,0,0,42.85714286,16,1,11,0,3,68.75
18,3,1,0,0,5.56,8,0,1,0,0,12.50,9,4,1,0,2,11.11111111,15,2,1,0,0,6.666666667,8,2,4,0,0,50,15,1,12,0,0,80,9,0,7,0,0,77.77777778,5,1,5,0,1,100,26,7,16,0,1,61.53846154,9,1,6,0,1,66.66666667,13,7,10,0,2,76.92307692,21,2,15,0,4,71.42857143,11,9,4,0,3,36.36363636,14,15,6,0,1,42.85714286,16,11,8,0,1,50,25,16,11,0,1,44,10,3,5,0,0,50,10,1,7,0,0,70,6,2,2,0,2,33.33333333,12,0,5,0,1,41.66666667
6,3,1,0,0,16.67,15,1,2,0,0,13.33,8,2,1,0,0,12.5,9,4,2,0,0,22.22222222,12,3,7,0,0,58.33333333,1,1,1,0,0,100,9,0,8,0,0,88.88888889,2,0,2,0,0,100,14,1,5,0,0,35.71428571,14,2,5,0,1,35.71428571,10,6,8,0,2,80,16,6,10,0,4,62.5,15,6,7,0,1,46.66666667,15,15,9,0,2,60,13,8,8,0,1,61.53846154,12,8,8,0,1,66.66666667,9,0,7,0,0,77.77777778,11,0,8,0,0,72.72727273,21,2,10,0,1,47.61904762,19,1,7,0,0,36.84210526
