pattern,match_name,pattern_name,cam_side,num_seqlets,qval,qval_log
pos_patterns.pattern_0,RBM4B,pos,left,56,0.000744,3.1284270644541214
pos_patterns.pattern_1,HNRNPH2,pos,left,51,0.351044,0.4546384454726619
pos_patterns.pattern_2,RBM4B,pos,left,50,0.000794,3.1001794975729036
pos_patterns.pattern_3,RBM4B,pos,left,48,0.000997,3.001304841688344
pos_patterns.pattern_4,CNBP,pos,left,43,0.278352,0.5554056538761973
pos_patterns.pattern_5,RBM4B,pos,left,39,0.005984,2.223008415143595
pos_patterns.pattern_6,KHDRBS3,pos,left,35,0.143357,0.8435810959707208
pos_patterns.pattern_7,RBM4,pos,left,34,0.925411,0.03366534251614311
pos_patterns.pattern_8,RBM4B,pos,left,33,0.21605,0.6654457293527511
pos_patterns.pattern_9,RBM23,pos,left,30,0.01363,1.8655041441653264
pos_patterns.pattern_10,EWSR1,pos,left,30,0.006172,2.2095740826088894
pos_patterns.pattern_11,RBM4B,pos,left,21,0.000606,3.217527375833714
pos_patterns.pattern_12,RBM4B,pos,left,20,0.050741,1.2946409779853494
pos_patterns.pattern_0,RBFOX3,pos,left,56,0.007696,2.1137349409702435
pos_patterns.pattern_1,SRSF11,pos,left,51,0.351044,0.4546384454726619
pos_patterns.pattern_2,RBFOX3,pos,left,50,0.001955,2.7088532382681145
pos_patterns.pattern_3,RBFOX3,pos,left,48,0.006526,2.185352930548144
pos_patterns.pattern_4,SRSF1,pos,left,43,0.278352,0.5554056538761973
pos_patterns.pattern_5,RBM6,pos,left,39,0.007358,2.1332402165048916
pos_patterns.pattern_6,SRSF12,pos,left,35,0.624279,0.20462127397070373
pos_patterns.pattern_7,RBM4,pos,left,34,0.925411,0.03366534251614311
pos_patterns.pattern_8,RBMY1J,pos,left,33,0.21605,0.6654457293527511
pos_patterns.pattern_9,PCBP2,pos,left,30,0.01363,1.8655041441653264
pos_patterns.pattern_10,HNRNPF,pos,left,30,0.009937,2.002744710179897
pos_patterns.pattern_11,RBM4,pos,left,21,0.008235,2.0843363964942268
pos_patterns.pattern_12,HNRNPA2B1,pos,left,20,0.106844,0.9712498613338435
pos_patterns.pattern_0,RBM4,pos,left,56,0.028413,1.5464829086684577
pos_patterns.pattern_1,HNRNPF,pos,left,51,0.351044,0.4546384454726619
pos_patterns.pattern_2,ARGLU1,pos,left,50,0.005706,2.2436682326789423
pos_patterns.pattern_3,RBM4,pos,left,48,0.009114,2.04029097575357
pos_patterns.pattern_4,SRSF1,pos,left,43,0.278352,0.5554056538761973
pos_patterns.pattern_5,RBM4,pos,left,39,0.007358,2.1332402165048916
pos_patterns.pattern_6,SRSF10,pos,left,35,0.624279,0.20462127397070373
pos_patterns.pattern_7,ARGLU1,pos,left,34,0.925411,0.03366534251614311
pos_patterns.pattern_8,RBM4B,pos,left,33,0.21605,0.6654457293527511
pos_patterns.pattern_9,HNRNPA2B1,pos,left,30,0.01363,1.8655041441653264
pos_patterns.pattern_10,PCBP2,pos,left,30,0.009937,2.002744710179897
pos_patterns.pattern_11,RBFOX3,pos,left,21,0.026762,1.572481433635644
pos_patterns.pattern_12,EWSR1,pos,left,20,0.106844,0.9712498613338435
