class_hls,delta
LL-RIs,379.6796817554543
LL-RIs,405.3726969816206
LL-RIs,380.92921205162554
LL-RIs,432.61544315312716
LL-RIs,409.2729654989318
LL-RIs,392.0929175746064
LL-RIs,386.6839372555737
LL-RIs,410.5342949286921
LL-RIs,408.9884796689719
LL-RIs,453.7106744772557
LL-RIs,370.24706840785103
LL-RIs,376.1470586782104
LL-RIs,406.20178186018694
LL-RIs,444.6854272775428
LL-RIs,414.6001819628096
LL-RIs,426.80343662403607
LL-RIs,412.5819529703889
LL-RIs,381.55095673182535
LL-RIs,411.54201841932746
LL-RIs,425.3215639268987
LL-RIs,390.91363190151486
LL-RIs,394.00207355852046
LL-RIs,419.9754139944252
LL-RIs,417.8080612966409
LL-RIs,386.5952338473876
LL-RIs,398.42022121374896
LL-RIs,427.0751961934448
LL-RIs,376.5872514362979
LL-RIs,429.88825669313803
LL-RIs,418.96035802902486
LL-RIs,393.59653173847533
LL-RIs,408.3049947168679
LL-RIs,368.9036003761966
LL-RIs,404.19032838845646
LL-RIs,395.7968270489993
LL-RIs,397.55548051224997
LL-RIs,421.35793410074484
LL-RIs,354.67233054493886
LL-RIs,426.9785975419461
LL-RIs,408.8135970260042
LL-RIs,417.63206942982447
LL-RIs,418.55017525380447
LL-RIs,381.39910259822705
LL-RIs,413.62247720223775
LL-RIs,408.297376145055
LL-RIs,420.4334861634509
LL-RIs,418.63962547984636
LL-RIs,383.0285622560081
LL-RIs,390.6352808431043
LL-RIs,421.53704192849005
LL-RIs,411.7153803680731
LL-RIs,415.2416043423186
LL-RIs,406.2472093539344
LL-RIs,409.05908036106484
LL-RIs,386.7757777429173
LL-RIs,390.7228096255684
LL-RIs,389.70270019598496
LL-RIs,378.20115138157126
LL-RIs,415.00587184408835
LL-RIs,384.5837139298384
LL-RIs,398.6131978511479
LL-RIs,379.441301967553
LL-RIs,385.0924528768266
LL-RIs,391.18156937056904
LL-RIs,427.4817113214262
LL-RIs,398.97830281768734
LL-RIs,399.4579196363364
LL-RIs,393.22671246547793
LL-RIs,403.21407799667344
LL-RIs,386.5311640348701
LL-RIs,408.4432663012283
LL-RIs,396.309705294606
LL-RIs,396.71189479281963
LL-RIs,382.9018776862641
LL-RIs,408.3328448748759
LL-RIs,384.9557910572202
LL-RIs,444.1675897483599
LL-RIs,385.59424171380107
LL-RIs,401.66020542798617
LL-RIs,365.9110567686028
LL-RIs,398.32761048672336
LL-RIs,438.98988567046035
LL-RIs,401.3210470586326
LL-RIs,435.13615073899325
LL-RIs,417.5404996934923
LL-RIs,369.26525801402755
LL-RIs,415.5877853108397
LL-RIs,408.0500640731617
LL-RIs,407.51738320354326
LL-RIs,377.26552026784196
