bin,coverage,motif,group,region
0,0.0,G4_3t_short,Retained,left
1,0.00025025025025025025,G4_3t_short,Retained,left
2,0.0006256256256256256,G4_3t_short,Retained,left
3,0.0007507507507507507,G4_3t_short,Retained,left
4,0.0008758758758758759,G4_3t_short,Retained,left
5,0.0008758758758758759,G4_3t_short,Retained,left
6,0.0008758758758758759,G4_3t_short,Retained,left
7,0.0008758758758758759,G4_3t_short,Retained,left
8,0.0011261261261261261,G4_3t_short,Retained,left
9,0.0011261261261261261,G4_3t_short,Retained,left
10,0.0011261261261261261,G4_3t_short,Retained,left
11,0.001001001001001001,G4_3t_short,Retained,left
12,0.0008758758758758759,G4_3t_short,Retained,left
13,0.001001001001001001,G4_3t_short,Retained,left
14,0.0012512512512512512,G4_3t_short,Retained,left
15,0.0015015015015015015,G4_3t_short,Retained,left
16,0.0021271271271271273,G4_3t_short,Retained,left
17,0.0027527527527527527,G4_3t_short,Retained,left
18,0.0055055055055055055,G4_3t_short,Retained,left
19,0.007757757757757758,G4_3t_short,Retained,left
20,0.02615115115115115,G4_3t_short,Retained,core
21,0.035035035035035036,G4_3t_short,Retained,core
22,0.035785785785785784,G4_3t_short,Retained,core
23,0.03465965965965966,G4_3t_short,Retained,core
24,0.03453453453453453,G4_3t_short,Retained,core
25,0.03516016016016016,G4_3t_short,Retained,core
26,0.03453453453453453,G4_3t_short,Retained,core
27,0.03428428428428428,G4_3t_short,Retained,core
28,0.03328328328328328,G4_3t_short,Retained,core
29,0.032407407407407406,G4_3t_short,Retained,core
30,0.03178178178178178,G4_3t_short,Retained,core
31,0.031156156156156155,G4_3t_short,Retained,core
32,0.03228228228228228,G4_3t_short,Retained,core
33,0.03190690690690691,G4_3t_short,Retained,core
34,0.029779779779779778,G4_3t_short,Retained,core
35,0.030155155155155156,G4_3t_short,Retained,core
36,0.02952952952952953,G4_3t_short,Retained,core
37,0.028028028028028028,G4_3t_short,Retained,core
38,0.030405405405405407,G4_3t_short,Retained,core
39,0.028153153153153154,G4_3t_short,Retained,core
40,0.028403403403403405,G4_3t_short,Retained,core
41,0.02827827827827828,G4_3t_short,Retained,core
42,0.028653653653653653,G4_3t_short,Retained,core
43,0.027902902902902902,G4_3t_short,Retained,core
44,0.027527527527527528,G4_3t_short,Retained,core
45,0.026026026026026026,G4_3t_short,Retained,core
46,0.026526526526526525,G4_3t_short,Retained,core
47,0.027777777777777776,G4_3t_short,Retained,core
48,0.028028028028028028,G4_3t_short,Retained,core
49,0.028153153153153154,G4_3t_short,Retained,core
50,0.026526526526526525,G4_3t_short,Retained,core
51,0.02665165165165165,G4_3t_short,Retained,core
52,0.025025025025025027,G4_3t_short,Retained,core
53,0.025275275275275275,G4_3t_short,Retained,core
54,0.026026026026026026,G4_3t_short,Retained,core
55,0.02615115115115115,G4_3t_short,Retained,core
56,0.024774774774774775,G4_3t_short,Retained,core
57,0.0259009009009009,G4_3t_short,Retained,core
58,0.026526526526526525,G4_3t_short,Retained,core
59,0.025275275275275275,G4_3t_short,Retained,core
60,0.024399399399399398,G4_3t_short,Retained,core
61,0.02252252252252252,G4_3t_short,Retained,core
62,0.0228978978978979,G4_3t_short,Retained,core
63,0.023773773773773772,G4_3t_short,Retained,core
64,0.0228978978978979,G4_3t_short,Retained,core
65,0.02364864864864865,G4_3t_short,Retained,core
66,0.023523523523523524,G4_3t_short,Retained,core
67,0.022272272272272273,G4_3t_short,Retained,core
68,0.02127127127127127,G4_3t_short,Retained,core
69,0.02077077077077077,G4_3t_short,Retained,core
70,0.022647647647647647,G4_3t_short,Retained,core
71,0.02127127127127127,G4_3t_short,Retained,core
72,0.021021021021021023,G4_3t_short,Retained,core
73,0.02002002002002002,G4_3t_short,Retained,core
74,0.018518518518518517,G4_3t_short,Retained,core
75,0.01901901901901902,G4_3t_short,Retained,core
76,0.01876876876876877,G4_3t_short,Retained,core
77,0.017892892892892892,G4_3t_short,Retained,core
78,0.016891891891891893,G4_3t_short,Retained,core
79,0.016766766766766767,G4_3t_short,Retained,core
80,0.01826826826826827,G4_3t_short,Retained,core
81,0.01701701701701702,G4_3t_short,Retained,core
82,0.01589089089089089,G4_3t_short,Retained,core
83,0.01639139139139139,G4_3t_short,Retained,core
84,0.015640640640640642,G4_3t_short,Retained,core
85,0.01438938938938939,G4_3t_short,Retained,core
86,0.014014014014014014,G4_3t_short,Retained,core
87,0.013763763763763764,G4_3t_short,Retained,core
88,0.01539039039039039,G4_3t_short,Retained,core
89,0.014889889889889889,G4_3t_short,Retained,core
90,0.016016016016016016,G4_3t_short,Retained,core
91,0.015640640640640642,G4_3t_short,Retained,core
92,0.014264264264264264,G4_3t_short,Retained,core
93,0.01539039039039039,G4_3t_short,Retained,core
94,0.01514014014014014,G4_3t_short,Retained,core
95,0.014764764764764765,G4_3t_short,Retained,core
96,0.014264264264264264,G4_3t_short,Retained,core
97,0.015015015015015015,G4_3t_short,Retained,core
98,0.015640640640640642,G4_3t_short,Retained,core
99,0.015765765765765764,G4_3t_short,Retained,core
100,0.016516516516516516,G4_3t_short,Retained,core
101,0.01539039039039039,G4_3t_short,Retained,core
102,0.015640640640640642,G4_3t_short,Retained,core
103,0.015265265265265265,G4_3t_short,Retained,core
104,0.015515515515515516,G4_3t_short,Retained,core
105,0.014014014014014014,G4_3t_short,Retained,core
106,0.013763763763763764,G4_3t_short,Retained,core
107,0.014264264264264264,G4_3t_short,Retained,core
108,0.013513513513513514,G4_3t_short,Retained,core
109,0.011886886886886886,G4_3t_short,Retained,core
110,0.011136136136136137,G4_3t_short,Retained,core
111,0.011386386386386387,G4_3t_short,Retained,core
112,0.012012012012012012,G4_3t_short,Retained,core
113,0.010760760760760761,G4_3t_short,Retained,core
114,0.01126126126126126,G4_3t_short,Retained,core
115,0.008758758758758759,G4_3t_short,Retained,core
116,0.00950950950950951,G4_3t_short,Retained,core
117,0.008758758758758759,G4_3t_short,Retained,core
118,0.006631631631631631,G4_3t_short,Retained,core
119,0.002877877877877878,G4_3t_short,Retained,core
120,0.00012512512512512512,G4_3t_short,Retained,right
121,0.00037537537537537537,G4_3t_short,Retained,right
122,0.0005005005005005005,G4_3t_short,Retained,right
123,0.0006256256256256256,G4_3t_short,Retained,right
124,0.0006256256256256256,G4_3t_short,Retained,right
125,0.0006256256256256256,G4_3t_short,Retained,right
126,0.0008758758758758759,G4_3t_short,Retained,right
127,0.0008758758758758759,G4_3t_short,Retained,right
128,0.001001001001001001,G4_3t_short,Retained,right
129,0.001001001001001001,G4_3t_short,Retained,right
130,0.0011261261261261261,G4_3t_short,Retained,right
131,0.001001001001001001,G4_3t_short,Retained,right
132,0.0008758758758758759,G4_3t_short,Retained,right
133,0.0007507507507507507,G4_3t_short,Retained,right
134,0.0007507507507507507,G4_3t_short,Retained,right
135,0.0007507507507507507,G4_3t_short,Retained,right
136,0.0007507507507507507,G4_3t_short,Retained,right
137,0.0006256256256256256,G4_3t_short,Retained,right
