EVENT,GENE,LENGTH,Total_Introns,Intron_Position,Repeat_Percentage,Repeat_Types,GC_Content,phylop_mean,PIR_Nuc_baseline,TPM_Nuc_baseline,TPM_Cyt_baseline,Nuclear_Enrichment,hl_gated_gwise,hl_gated_intwise,hl_gated_intwise_scaled,hl_gated_intwise_scaled_logged,stability,CpG_total,CpG_methylated_perc,Speckle_Enrichment,ssDRIP_peaks,ssDRIP_qValue,ssDRIP_cov,UMAP1_IR,UMAP2_IR,class_ir
HsaINT0000824,ABCA7,348,45.0,5.0,25.0,SINE/MIR,59.4827586206897,-0.7097377509099461,92.38,58.58,2.08,4.815752759738275,12.0,12.0,1.0,0.0,Stable_4h,20,91.41104294478528,3.48544387610702,0,,0.6142150827634608,2.6421952,8.486819,Retained
HsaINT0000809,ABCA7,229,45.0,33.0,0.0,,58.9519650655022,-0.2987763177911882,32.33,58.58,2.08,4.815752759738275,12.0,,,,Stable_4h,4,86.66666666666667,3.48544387610702,0,,0.7985569862343217,1.3273431,8.145005,Retained
HsaINT0000820,ABCA7,297,45.0,43.0,0.0,,69.6969696969697,-0.591280406040086,66.63,58.58,2.08,4.815752759738275,12.0,8.837,0.7364166666666666,-0.1328763910541499,Stable_4h,32,91.01796407185628,3.48544387610702,0,,0.8707614172671363,2.0045955,9.20554,Retained
HsaINT0000786,ABCA7,395,45.0,12.0,0.0,,68.1012658227848,-0.561063451482087,42.775,58.58,2.08,4.815752759738275,12.0,12.0,1.0,0.0,Stable_4h,32,93.75,3.48544387610702,0,,0.8333487099075051,2.9417272,9.081146,Retained
HsaINT0001035,ABCB6,186,18.0,3.0,0.0,,58.6021505376344,0.1587027073057519,81.005,108.01,19.025,2.5051965302374315,,12.0,,,Stable_4h,4,84.61538461538461,,0,,0.6647866099245865,0.98409384,6.6630197,Retained
HsaINT0001038,ABCB6,462,18.0,6.0,0.0,,52.8138528138528,-0.0194642074823322,59.255,108.01,19.025,2.5051965302374315,,8.442,,,Stable_4h,16,90.26548672566372,,0,,0.3413234229867871,1.096543,6.0684814,Retained
HsaINT0001024,ABCB6,317,18.0,1.0,6.94006309148265,Simple_repeat,48.2649842271293,0.3826898726571316,41.155,108.01,19.025,2.5051965302374315,,,,,Stable_4h,6,21.21212121212121,,0,,1.411510630128406,0.15782858,5.6355014,Retained
HsaINT0001057,ABCB8,5662,14.0,1.0,52.59625574002119,"DNA/hAT-Charlie, LINE/CR1, LINE/L2, SINE/Alu, SINE/MIR, Simple_repeat",51.8014835747086,-0.0252589645609292,100.0,34.015,8.755,1.957992005338376,12.0,12.0,1.0,0.0,Stable_4h,241,69.53937592867756,3.04772243971942,0,,0.4671101265465971,2.0102556,7.9667306,Retained
HsaINT0001121,ABCC10,186,19.0,11.0,0.0,,63.4408602150538,0.394924326631165,54.135,46.475,7.185,2.693394803349508,12.0,10.923,0.91025,-0.0408393123940186,Stable_4h,8,97.5,3.0825685654999,0,,0.8050102641278543,1.3499626,8.653745,Retained
HsaINT0001131,ABCC10,185,19.0,3.0,0.0,,51.8918918918919,0.1207771744052677,88.225,46.475,7.185,2.693394803349508,12.0,12.0,1.0,0.0,Stable_4h,4,90.0,3.0825685654999,0,,0.7407009874200658,-0.06303183,6.115344,Retained
HsaINT0001125,ABCC10,275,19.0,15.0,0.0,,53.8181818181818,-0.3566386880434669,44.415,46.475,7.185,2.693394803349508,12.0,8.586,0.7155,-0.1453903619042048,Stable_4h,2,92.85714285714286,3.0825685654999,0,,1.7455304697979754,4.4410596,6.6845093,Retained
HsaINT1000223,ABCD3,2148,22.0,8.0,16.34078212290503,"LINE/L2, SINE/Alu",33.0540037243948,0.1605626447690723,62.045,33.85,26.705,0.3420459495702247,,5.756,,,Stable_4h,22,90.625,-0.155838528627867,0,,1.100910091715649,-0.65255207,0.93853956,Retained
HsaINT0024103,ABHD18,5662,10.0,7.0,66.1603673613564,"LINE/L2, SINE/Alu, SINE/MIR",41.4871070293183,0.1234757109248261,65.51,18.615,9.15,1.0246219676801076,,9.165,,,Stable_4h,139,92.95454545454544,,0,,0.6743427128573406,-1.7616175,2.6891432,Retained
HsaINT0001713,ABHD8,1617,4.0,1.0,26.901669758812616,"SINE/Alu, Simple_repeat",57.5757575757576,-0.0061150992970388,55.93,10.415,8.725,0.2554358029436321,,,,,Stable_4h,78,42.25,-0.0697988393672721,0,,0.8916899775396268,1.548224,8.078522,Retained
HsaINT0001714,ABHD8,6010,4.0,2.0,77.10482529118137,"DNA/hAT-Charlie, SINE/Alu, SINE/MIR, Simple_repeat",49.134775374376,-0.0454503237024356,61.605,10.415,8.725,0.2554358029436321,,,,,Stable_4h,247,92.48554913294798,-0.0697988393672721,0,,1.17216235921308,-3.5084035,3.6006818,Retained
HsaINT1000297,ABTB1,1309,11.0,1.0,0.0,,65.0878533231474,-0.4944870039170596,54.125,40.04,2.42,4.048363021561399,12.0,6.38,0.5316666666666666,-0.2743605673264625,Stable_4h,139,18.137254901960784,,0,,0.4492460034071037,2.8402085,9.30921,Retained
HsaINT0001935,ABTB2,322,16.0,15.0,0.0,,63.6645962732919,-0.4560965697521872,59.375,17.075,8.655,0.9802798538108142,8.427,,,,Stable_4h,11,87.27272727272727,-0.589249821234576,0,,0.5660345124383306,2.612323,8.015542,Retained
HsaINT1000608,AC005306.3,142,1.0,1.0,0.0,,59.1549295774648,0.1020567296733353,99.645,81.37,1.415,5.845623032528439,4.799,,,,Stable_4h,8,89.47368421052632,,0,,1.564477251317677,3.9404082,7.553479,Retained
HsaINT1000714,AC006042.6,754,2.0,1.0,0.0,,45.7559681697613,0.0820491365155521,100.0,17.175,1.605,3.4196648965831598,2.998,12.0,4.00266844563042,0.6023496175353641,Stable_4h,10,89.0625,,0,,0.8603013268349426,1.7399975,3.729898,Retained
HsaINT1000715,AC006042.6,1259,2.0,2.0,0.0,,41.143764892772,0.1059705884098142,98.825,17.175,1.605,3.4196648965831598,2.998,,,,Stable_4h,16,92.80575539568343,,0,,0.271858092989661,-0.5305332,3.6974828,Retained
HsaINT1001063,AC009120.5,1785,1.0,1.0,61.5686274509804,"LINE/L1, LTR/ERVL-MaLR, SINE/Alu",45.9943977591036,-0.0086468608114547,100.0,21.215,1.145,4.211665175193792,,12.0,,,Stable_4h,44,92.43986254295532,,0,,1.5803133158432028,2.6447232,5.1998625,Retained
HsaINT1001212,AC010761.14,285,1.0,1.0,10.175438596491228,SINE/Alu,56.4912280701754,0.0235809857881641,61.635,24.255,1.495,4.020064789996713,8.344,12.0,1.4381591562799618,0.1578069506291504,Stable_4h,24,0.591715976331361,,0,,1.5058679604206473,2.1201696,6.82157,Retained
HsaINT1002458,AC124789.1,490,3.0,1.0,24.081632653061224,Simple_repeat,64.6938775510204,0.3751206531547436,69.13,11.78,13.595,-0.2067366121942995,11.823,12.0,1.0149708195889369,0.0064535564623593,Stable_4h,18,2.6666666666666665,,0,,1.4312735060292532,1.1531162,9.359658,Retained
