,GENE,LENGTH,Total_Introns,Intron_Position,Repeat_Percentage,Repeat_Types,GC_Content,phylop_mean,PIR_Nuc_baseline,TPM_Nuc_baseline,TPM_Cyt_baseline,Nuclear_Enrichment,hl_gated_gwise,hl_gated_intwise,hl_gated_intwise_scaled,hl_gated_intwise_scaled_logged,stability,CpG_total,CpG_methylated_perc,Speckle_Enrichment,ssDRIP_peaks,ssDRIP_qValue,ssDRIP_cov,UMAP1_HLrev,UMAP2_HLrev,class_hls
HsaINT0000824,ABCA7,348,45.0,5.0,25.0,SINE/MIR,59.4827586206897,-0.7097377509099461,92.38,58.58,2.08,4.815752759738275,12.0,12.0,1.0,0.0,Stable_4h,20,91.41104294478528,3.48544387610702,0,,0.6142150827634608,8.311062,9.399923,LL-RIs
HsaINT0000820,ABCA7,297,45.0,43.0,0.0,,69.6969696969697,-0.591280406040086,66.63,58.58,2.08,4.815752759738275,12.0,8.837,0.7364166666666666,-0.1328763910541499,Stable_4h,32,91.01796407185628,3.48544387610702,0,,0.8707614172671363,8.721125,10.347525,LL-RIs
HsaINT0000786,ABCA7,395,45.0,12.0,0.0,,68.1012658227848,-0.561063451482087,42.775,58.58,2.08,4.815752759738275,12.0,12.0,1.0,0.0,Stable_4h,32,93.75,3.48544387610702,0,,0.8333487099075051,7.452875,10.071413,LL-RIs
HsaINT0001057,ABCB8,5662,14.0,1.0,52.59625574002119,"DNA/hAT-Charlie, LINE/CR1, LINE/L2, SINE/Alu, SINE/MIR, Simple_repeat",51.8014835747086,-0.0252589645609292,100.0,34.015,8.755,1.957992005338376,12.0,12.0,1.0,0.0,Stable_4h,241,69.53937592867756,3.04772243971942,0,,0.4671101265465971,8.6649065,9.252415,LL-RIs
HsaINT0001121,ABCC10,186,19.0,11.0,0.0,,63.4408602150538,0.394924326631165,54.135,46.475,7.185,2.693394803349508,12.0,10.923,0.91025,-0.0408393123940186,Stable_4h,8,97.5,3.0825685654999,0,,0.8050102641278543,10.683601,9.102722,LL-RIs
HsaINT0001131,ABCC10,185,19.0,3.0,0.0,,51.8918918918919,0.1207771744052677,88.225,46.475,7.185,2.693394803349508,12.0,12.0,1.0,0.0,Stable_4h,4,90.0,3.0825685654999,0,,0.7407009874200658,11.423636,7.8759537,LL-RIs
HsaINT0001125,ABCC10,275,19.0,15.0,0.0,,53.8181818181818,-0.3566386880434669,44.415,46.475,7.185,2.693394803349508,12.0,8.586,0.7155,-0.1453903619042048,Stable_4h,2,92.85714285714286,3.0825685654999,0,,1.7455304697979754,7.3807597,6.4235497,LL-RIs
HsaINT0001436,ABCD1,3065,9.0,1.0,16.182707993474715,"Low_complexity, SINE/Alu, SINE/MIR",61.2724306688418,-0.1846716714752856,78.54,16.02,4.91,1.706079218094017,12.0,12.0,1.0,0.0,Stable_4h,181,59.72727272727273,1.40607951617305,0,,0.3851723369394589,10.157407,9.600368,LL-RIs
HsaINT0001484,ABCD4,456,18.0,15.0,30.70175438596491,DNA/hAT-Tip100,53.9473684210526,-0.113975825151275,62.895,168.775,23.415,2.849596275782022,7.516,5.363,0.7135444385311336,-0.1465789744654199,Stable_4h,8,95.77464788732394,3.0116342994816,0,,0.5572422620149137,10.812866,8.207332,LL-RIs
HsaINT0001487,ABCD4,171,18.0,18.0,0.0,,61.4035087719298,-0.0474647119805655,54.03,168.775,23.415,2.849596275782022,7.516,12.0,1.5965939329430547,0.2031944746191368,Stable_4h,8,92.10526315789474,3.0116342994816,0,,1.6171285031070457,9.9539175,8.241668,LL-RIs
